in	['toward', 'within', 'into', 'inside']
▁retro	['▁old-style', '▁old-fashioned']
▁ceased	['▁halted', '▁stopped', '▁finished', '▁ended']
TB	['Tuberculosis', 'Phthis', 'Consumption']
▁Stage	['▁point', '▁period', '▁step', '▁phase', '▁level']
social	['collective', 'communal', 'comm', 'societal']
Cookie	['biscuit', 'bisc']
▁officials	['▁de', '▁officers', '▁representatives', '▁agents']
Interceptor	['Syn', 'Input:', '100']
Tables	['Synonyms', 'Cats', 'Input:']
initialize	[]
▁Body	['▁trunk', '▁physique', '▁figure', '▁torso']
▁Upper	['▁elevated', '▁higher', '▁lo', '▁superior']
▁Collect	['▁Accumulate', '▁Gather', '▁Assemble']
Horizontal	['even', 'flat', 'parallel', 'straight', 'level']
▁hoped	['▁anticipated', '▁expected', '▁wished', '▁tr']
▁anxious	['▁app', '▁uneasy', '▁worried', '▁nervous']
▁assemble	['▁collect', '▁gather', '▁meet', '▁congregate']
▁crypt	['▁vault', '▁mausoleum', '▁tomb']
ASH	['cinders', 'soot', 'dust']
twitter	['tweet', 'chirp', 'cheep']
hyper	['overexcited', 'overst', 'overactive']
▁Tell	['▁Advise', '▁Report', '▁Inform', '▁Notify']
▁contemporary	['▁present-day', '▁present', '▁current', '▁modern']
▁Parameter	['▁element', '▁constant', '▁quantity', '▁factor', '▁variable']
cock	['rooster', 'roo', 'bird', 'chicken']
previous	['former', 'earlier', 'prior', 'preced']
▁caller	['▁ringer', '▁telephoner', '▁dialer']
▁proposal	['▁offer', '▁proposition', '▁suggestion', '▁plan']
▁pride	['▁self-respect', '▁dignity', '▁self']
gradient	['declivity', 'slope', 'incline']
▁SH	['▁HER', '▁HERS', '▁SHE']
▁markup	[]
▁vars	['▁Syn', '▁Input:', '▁100']
▁Cob	['▁Z', '▁corn', '▁maize', '▁Indian corn']
▁leak	['▁trickle', '▁drip', '▁seep']
Switch	['alter', 'exchange', 'swap', 'substitute', 'change']
Delay	['postpone', 'defer', 'put off']
▁legacy	['▁bequest', '▁inheritance', '▁heritage', '▁endow']
▁topological	['▁topological\n\nInput:', '▁topologic']
▁atmosphere	['▁climate', '▁environment', '▁surround', '▁air']
urban	['city', 'municipal', 'metropolitan', 'c']
▁lawyer	['▁counsel', '▁attorney', '▁solicitor']
▁alternate	['▁alternative', '▁replacement', '▁substitute', '▁surrog']
▁establishment	['▁organization', '▁company', '▁foundation', '▁institution']
▁woods	['▁grove', '▁thicket', '▁copse', '▁forest']
PD	['Syn', 'Input:']
▁mang	['▁mange', '▁mangey']
▁fifteen	['▁fifteen\n\nInput:', '▁15']
SUM	['ADD', 'ADDITION', 'T', 'TOTAL']
▁LED	['▁COMMAN', '▁DIRECTED', '▁GUIDED']
horn	['trumpet', 'bugle', 'cornet']
▁Complete	['▁Finish', '▁Terminate', '▁End', '▁Conclude']
▁kindly	['▁benign', '▁benevolent', '▁benignant']
▁Chamber	['▁c', '▁apartment', '▁compartment', '▁room']
▁ambient	['▁environmental', '▁surrounding', '▁encompassing']
flu	['influenza', 'epidemic', 'grippe']
mate	['companion', 'spouse', 'friend', 'partner']
natural	['inborn', 'innate', 'inbred']
▁unlikely	['▁improbable', '▁un', '▁unbelievable']
RAM	['Random access memory', 'Random', 'Random-access memory']
▁Meanwhile	['▁Simultaneously', '▁At the same time']
closure	['ending', 'conclusion', 'finale', 'finish']
▁molt	['▁slough off', '▁shed', '▁cast', '▁slough']
▁Items	['▁pieces', '▁things', '▁objects', '▁articles']
▁Think	['▁Consider', '▁Contem', '▁Reflect', '▁Ponder']
▁grows	['▁expands', '▁flourishes', '▁develops']
portal	['gateway', 'entrance', 'open', 'doorway']
mana	['Syn', 'Input:', '100']
▁lieutenant	['▁second lieutenant', '▁sublieutenant', '▁subaltern']
▁drives	['▁steers', '▁man', '▁guides', '▁operates']
Zygote	['Input:', 'Synonyms:', 'C']
physics	['physical science\n\nInput:', 'natural philosophy']
▁internally	['▁inwardly', '▁inward\n\nInput:']
Hidden	['masked', 'covert', 'secret', 'concealed']
▁unsafe	['▁dangerous', '▁perilous', '▁hazardous']
▁instantiate	['▁illustrate', '▁exemplify', '▁demonstr']
▁Room	['▁suite', '▁apartment', '▁den', '▁chamber']
Projects	['Designs', 'Plans', 'Schemes']
▁Blood	['▁gore', '▁hemoglobin', '▁claret']
Does	['Performs', 'Executes', 'Accomplishes']
angs	['Syn', 'Input:', '123']
weak	['frail', 'sickly', 'feeble']
▁Dresden	['▁Syn', '▁Input:', '▁100']
▁Lost	['▁Missing', '▁Absent', '▁Misplaced']
▁involve	['▁absorb', '▁con', '▁occupy', '▁engage']
▁declaring	['▁stating', '▁affirming', '▁announcing']
▁Political	['▁public', '▁state', '▁civic', '▁governmental']
kop	['police', 'policeman', 'police officer']
notify	['advise', 'warn', 'app', 'inform', 'alert']
▁Curt	['▁abrupt', '▁brusquer', '▁brusque']
▁Sob	['▁cry', '▁weep', '▁baw', '▁wail']
WIN	['TRIUMPH', 'VICTORY']
▁smiled	['▁beamed', '▁grinned', '▁grimaced']
▁Schmidt	['▁Syn', '▁Input:', '▁100']
▁smoke	['▁fume', '▁vapor', '▁steam', '▁f']
▁Token	['▁coupon', '▁ticket', '▁pass', '▁voucher']
▁vague	['▁indistinct', '▁fuzzy', '▁blur']
▁provision	['▁reserve', '▁stock', '▁store', '▁supp', '▁supply']
central	['midst', 'midway', 'middle', 'midpoint']
verso	['reverse', 'flip side', 'back', 'reverse side']
ROW	['ARRAY', 'LINE', 'RANK', 'SER']
▁sensible	['▁rational', '▁logical', '▁reasonable']
▁Options	['▁Choices', '▁Possib', '▁Alternatives']
ovis	['sheep', 'Input:', '100']
▁ela	['▁Syn', '▁Input:', '▁100']
Binary	['Dual', 'Dual-', 'Dualistic']
▁Edinburgh	['▁Syn', '▁Input:', '▁100']
inde	['inside', 'inward', 'into', 'in']
▁Oregon	['▁Syn', '▁Input:', '▁100']
▁legit	['▁legal', '▁lawful', '▁legalized']
Private	['confidential', 'secret', 'individual', 'personal']
▁observable	['▁noticeable', '▁perceptible', '▁visible']
leans	['inclines', 'slants', 'tilts', 'b']
▁remarked	['▁observed', '▁commented', '▁st', '▁noted']
▁halt	['▁stop', '▁cease', '▁end', '▁finish']
▁stamp	['▁se', '▁imprint', '▁postage', '▁postmark']
Louis	['Input:', 'Lewis', '100']
▁Policy	['▁appro', '▁program', '▁procedure', '▁strategy', '▁plan']
▁offices	['▁workplaces', '▁workspaces']
▁participated	['▁took part', '▁joined in', '▁shared in']
Orientation	['position', 'bearing', 'direction', 'alignment']
cid	['Syn', 'Input:', '100']
Cart	['dray', 'barrow', 'tr', 'wagon']
building	['structure', 'edifice', 'fabric', 'construction']
▁shook	['▁sh', '▁shaken']
managed	['administered', 'control', 'supervised', 'handled']
▁Move	['▁relocate', '▁transfer', '▁transport', '▁shift']
optional	['discretion', 'elective', 'voluntary']
macro	['huge', 'big', 'enormous', 'large']
Condition	['position', 'state', 'situation', 'status']
▁squares	['▁quadrangles', '▁rectangles']
▁mistaken	['▁wrong', '▁incorrect', '▁erroneous']
▁Ris	['▁Syn', '▁Input:', '▁100']
zA	['Syn', 'Input:', '123']
▁Independent	['▁autonomous', '▁self-governing', '▁self']
▁preview	['▁foretaste', '▁foresh', '▁foresight']
▁males	['▁fellows', '▁guys', '▁ch', '▁men']
Thank	['Grateful', 'Gratitude', 'Appreciate']
▁grasp	['▁se', '▁grip', '▁clasp', '▁clutch']
▁titled	['▁entitled', '▁named', '▁christ', '▁designated']
▁Password	['▁watchword', '▁passcode', '▁watch']
▁teeth	['▁grinders', '▁ivories', '▁dentition']
▁SW	['▁SOUTH-', '▁SOUTHWEST']
▁seized	['▁apprehended', '▁captured', '▁arrested', '▁nab']
▁Hob	['▁elf', '▁hobgoblin', '▁brownie']
▁Crown	['▁coronet', '▁tiara', '▁diadem']
▁Vienna	['▁Syn', '▁Input:', '▁100']
▁reflected	['▁mirrored', '▁reverberated', '▁echoed']
▁Bast	['▁Syn', '▁Input:', '▁100']
▁roads	['▁highways', '▁thoroughfares', '▁streets']
▁Iowa	['▁Syn', '▁Input:', '▁100']
aum	['Synonym', 'Input:', 'om']
▁founder	['▁establisher', '▁founding father', '▁founding member']
Compiler	['Synonyms', 'Input:', 'C++']
▁kop	['▁police', '▁policeman', '▁police officer']
▁marc	['▁Syn', '▁Input:', '▁100']
▁lei	['▁crown', '▁wreath', '▁garland']
▁horn	['▁trumpet', '▁trombone', '▁bugle']
▁Capital	['▁chief', '▁primary', '▁prime', '▁main', '▁principal']
preview	['foretaste', 'foreshadow', 'fores']
▁arab	['▁arabian', '▁arabic\n\nInput: a']
Best	['Optimal', 'Finest', 'Greatest']
museum	['gallery', 'exhibition hall', 'exhibition']
▁Err	['▁Miscalculate', '▁M', '▁Mistake']
▁resort	['▁lodge', '▁hotel', '▁inn', '▁hostel']
anchor	['fastening', 'fastener', 'mooring', 'fix']
leading	['ste', 'heading', 'guiding', 'directing']
▁Silva	['▁Syn', '▁Input:', '▁100']
dade	['Syn', 'Input:', '100']
▁designated	['▁allotted', '▁alloc', '▁appointed', '▁assigned']
Oct	['10', 'Syn', 'October', 'Input:']
percent	['percentage', 'ratio', 'portion', 'fraction']
identifier	['designator', 'n', 'naming word']
mass	['weight', 'heaviness', 'heft', 'bulk']
▁predicted	['▁forecasted', '▁proph', '▁foretold']
▁forming	['▁molding', '▁shaping', '▁fashioning']
Fun	['amusement', 'pleasure', 'enjoyment']
▁LOG	[]
rams	['bucks', 'he-go', 'billies']
▁tutorials	['▁courses', '▁lessons', '▁classes', '▁lectures']
Middle	['midst', 'center', 'midsection', 'midpoint']
▁maintenance	['▁repair', '▁upkeep', '▁servicing', '▁fix']
BASE	['FOUNDATION', 'B', 'BOTTOM']
▁disappear	['▁vanish']
▁lifetime	['▁life', '▁life-time', '▁lifespan']
▁Retrieved	['▁Recovered', '▁Regained', '▁Reclaimed']
architecture	['design', 'structure', 'form', 'construction', 'pattern']
development	['evolution', 'growth', 'advancement', 'progress']
▁Stars	['▁Hero', '▁Celebrities', '▁Idols']
signal	['sign', 'indicator', 'indication', 'mark']
▁grammar	['▁linguistics', '▁language', '▁grammat', '▁syntax']
▁Wagner	['▁Syn', '▁Input:', '▁100']
warn	['caution', 'alert', 'forewarn', 'advise']
▁refuge	['▁shelter', '▁asylum', '▁sanctuary']
▁favorite	['▁preferred', '▁elect', '▁chosen', '▁select', '▁opt']
▁Food	['▁nutriment', '▁sust', '▁nourishment']
▁Initialize	['▁Input:', '▁Synonyms:', '▁C']
▁overlap	['▁intersect', '▁coincide', '▁concur']
▁conject	['▁im', '▁guess', '▁surmise', '▁suppose']
▁sare	['▁saree\n\nInput:', '▁sari']
▁sums	['▁totals', '▁figures', '▁amounts', '▁numbers']
Authorization	['Consent', 'Permission', 'Approval']
▁emission	['▁release', '▁discharge']
▁insight	['▁perception', '▁understanding', '▁comprehension']
▁Broadcast	['▁diffuse', '▁transmit', '▁air', '▁beam']
▁advantages	['▁pluses', '▁benefits', '▁pros', '▁merits']
▁residence	['▁abode', '▁home', '▁house', '▁dwelling']
gas	['petrol', 'fuel', 'gasoline', 'gasol']
▁independently	['▁separately', '▁autonomously', '▁singly', '▁sol']
▁grounds	['▁territory', '▁est', '▁land', '▁premises']
Components	['pieces', 'elements', 'parts', 'portions']
Messages	['Announc', 'Notifications', 'Communications']
▁Abstract	['▁ideal', '▁theoretical', '▁conceptual']
▁Formula	['▁recipe', '▁prescription', '▁form', '▁formula']
dawn	['morning', 'daybreak', 'sunrise']
avigator	['Syn', 'Input:', '100']
▁Brothers	['▁siblings', '▁brethren', '▁sisters']
▁continent	['▁landmass', '▁mainland', '▁land\n\nInput']
▁evidently	['▁obviously', '▁clearly', '▁apparently', '▁plain']
race	['meet', 'competition', 'contest', 'event']
▁reck	['▁ruin', '▁dem', '▁smash', '▁wreck']
▁Grey	['▁gray', '▁d', '▁greyish', '▁grayish']
▁appeal	['▁petition', '▁request', '▁plea', '▁demand']
▁unlike	['▁unalike', '▁different', '▁un']
▁burning	['▁bla', '▁blazing', '▁flaming']
installed	['set up', 'put in']
▁Give	['▁Del', '▁Provide', '▁Present', '▁Offer']
▁colonial	['▁provincial', '▁country', '▁rustic', '▁rural']
▁christ	['▁jesus christ', '▁jesus']
▁Greece	['▁Hellas', '▁Hellenic Republic\n\nInput']
▁moth	['▁tineid\n\nInput:', '▁miller']
▁monarch	['▁que', '▁ruler', '▁king', '▁sovereign']
▁Download	['▁upload', '▁download', '▁transfer']
▁craft	['▁skill', '▁art', '▁artistry', '▁trade']
▁Luke	['▁100', '▁Input:', '▁Lucas']
▁suffix	['▁ending', '▁postfix']
Have	['Possess', 'Hold', 'Ac', 'Own']
▁comfortable	['▁comfy', '▁snug', '▁cozy']
▁tips	['▁recomm', '▁hints', '▁advice', '▁pointers']
▁Forces	['▁Powers', '▁Strengths', '▁Might']
▁Details	['▁minutiae', '▁specifics', '▁particulars']
Grad	['alumnus', 'alumna', 'graduate']
▁exterior	['▁outdoor', '▁outside', '▁outer', '▁outward']
Si	['Syn', 'Input:', '100']
▁Added	['▁Attached', '▁Aff', '▁Appended', '▁Included']
Endpoint	['Input:', 'Synonyms:', 'C']
aha	['eureka', 'aha moment']
▁divine	['▁godly', '▁heavenly', '▁angelic']
▁convinced	['▁confident', '▁sure', '▁persuaded', '▁certain']
▁humans	['▁mort', '▁persons', '▁individuals', '▁people']
▁departure	['▁leaving', '▁going away', '▁exit', '▁going']
▁possessed	['▁commanded', '▁controlled', '▁held', '▁owned']
Rich	['well-off', 'wealthy', 'affluent']
increment	['addition', 'increase', 'r', 'growth']
Done	['Finished', 'Completed', 'Accomplished']
FIX	['RESTO', 'REPAIR', 'MEND']
▁Heritage	['▁custom', '▁legacy', '▁inheritance', '▁tradition']
▁abc	['▁Syn', '▁Input:', '▁123']
▁reception	['▁meeting', '▁greeting', '▁g', '▁welcome']
folio	['sheet', 'page', 'leaf']
tiny	['mini', 'small', 'minute', 'little']
▁speaker	['▁presenter', '▁sp', '▁lecturer', '▁orator']
▁exponential	[]
▁Template	['▁Mold', '▁Model', '▁Out', '▁Pattern', '▁Form']
▁Inner	['▁internal', '▁inward', '▁interior', '▁medial']
▁ceremony	['▁rite', '▁ritual', '▁rite of passage']
▁Spart	['▁Syn', '▁Input:', '▁100']
yi	['Syn', 'Input:', '100']
▁Nevertheless	['▁still', '▁however', '▁nonetheless']
▁Done	['▁Finished', '▁Completed', '▁Accomplished']
season	['period', 'time of', 'time', 'period of time']
▁Beautiful	['▁Lovely', '▁Pretty', '▁Attractive']
▁overcome	['▁overwhelm', '▁over', '▁defeat', '▁overpower']
▁subscription	['▁membership', '▁sub\n\nInput: 10']
latex	['caoutchouc\n\nInput', 'rubber']
▁beach	['▁coast', '▁seashore', '▁shore']
arguments	['disagreements', 'disputes', 'quar']
▁stones	['▁rocks', '▁boulders', '▁pebbles']
▁Hunter	['▁trapper', '▁stalker', '▁pursuer']
▁regularly	['▁habitually', '▁customarily', '▁ordin', '▁normally']
▁flexible	['▁elastic', '▁pliable', '▁bendable']
PASS	['TRANSMIT', 'TRANSFER', 'CON']
▁profess	['▁avow', '▁declare', '▁assert', '▁affirm']
people	['folk', 'humans', 'individuals', 'persons']
▁Updated	['▁Revised', '▁Amended', '▁Modified', '▁Al']
rayed	['beamed', 'radiated', 'shone']
Cost	['Price', 'Expense', 'Fee', 'Charge']
▁Obviously	['▁Plainly', '▁Clearly', '▁Evident']
▁seeking	['▁hunting', '▁looking', '▁searching', '▁questing']
▁heter	['▁dissimilar', '▁different', '▁unlike']
▁Bootstrap	['▁Synonyms', '▁Input:', '▁C++']
▁Detroit	['▁City of Tre', '▁Motor City', '▁Motown']
▁provincial	['▁local', '▁rust', '▁regional', '▁country', '▁rural']
EB	['Input:', 'EASTBOUND']
blogs	['weblogs', 'weblogs\n\nInput: blog']
▁Albums	['▁discs', '▁LP', '▁recordings', '▁records']
Products	['Wares', 'Merchandise', 'Goods']
coli	['Syn', 'Input:', '100']
▁CV	['▁res', '▁curriculum vitae', '▁resume']
▁ford	['▁traverse', '▁cross', '▁go across', '▁pass', '▁go']
▁CI	['▁Synonyms', '▁Input:', '▁C']
▁tempt	['▁allure', '▁entice', '▁seduce']
▁Organisation	['▁Organization', '▁Company', '▁Institution', '▁Association']
▁cycles	['▁bicycles', '▁bikes', '▁wheels']
▁Spieler	['▁Syn', '▁Input:', '▁100']
▁Marvel	['▁miracle', '▁wonder', '▁phenomen', '▁marvel']
▁portal	['▁gateway', '▁entrance', '▁open', '▁doorway']
▁Interface	['▁coupling', '▁link', '▁junction', '▁connection']
AME	['AMERICANS', 'AMERICAN']
▁seriously	['▁severely', '▁badly', '▁gravely']
▁Binding	['▁Securing', '▁Tying', '▁Fastening']
▁Rang	['▁Clanged', '▁Tolled', '▁Pealed']
ocracy	['Syn', 'Input:', '100']
▁stability	['▁st', '▁steadiness']
▁uncertainty	['▁doubtfulness', '▁doubt', '▁dub']
▁Kraft	['▁Syn', '▁Input:', '▁100']
▁Moscow	['▁Syn', '▁Input:', '▁100']
lane	['alley', 'street', 'road', 'avenue']
arab	['arabian', 'arabic\n\nInput: a']
▁spole	['▁Syn', '▁Input:', '▁100']
START	['INITIATE', 'BEGIN', 'COMMENCE']
▁shapes	['▁figures', '▁forms', '▁patterns', '▁designs']
▁associate	['▁friend', '▁partner', '▁colleague', '▁compan']
▁theories	['▁hypotheses', '▁speculations', '▁conjectures']
▁Wayne	['▁Syn', '▁Input:', '▁100']
▁Hudson	['▁Syn', '▁Input:', '▁100']
▁Pattern	['▁design', '▁template', '▁form', '▁mold', '▁model']
▁garbage	['▁trash', '▁refuse', '▁rubbish']
▁intersect	['▁meet', '▁cross', '▁converge', '▁join']
▁Unless	['▁Save', '▁Excepting', '▁Ex', '▁Except']
▁deeper	['▁profounder']
dent	['tooth', 'teeth\n\nInput: dent']
▁Branch	['▁arm', '▁bough', '▁offsh', '▁limb']
▁fitted	['▁tailored', '▁adjusted', '▁altered']
stroke	['blow', 'slap', 'smack', 'hit']
listener	['hearer', 'auditor', 'aud', 'audience']
Introduction	['prefatory', 'prologue', 'preface']
▁quadratic	[]
▁Liberal	['▁open', '▁progressive', '▁broad-minded']
▁Berliner	['▁donut', '▁sinker', '▁doughnut']
▁notifications	['▁ind', '▁warnings', '▁alerts', '▁signals']
▁examine	['▁scrutinize', '▁inspect', '▁survey']
IOS	['Synonyms', 'Input:']
▁bout	['▁round', '▁match', '▁contest', '▁fight']
cls	['class', 'category', 'div', 'grade', 'classification']
amy	['Syn', 'Input:', '100']
ashed	['Syn', 'Input:', '100']
▁Fellow	['▁companion', '▁friend', '▁comrade', '▁associate']
▁Ara	['▁ARA', '▁Synonyms', '▁Input:']
▁Exit	['▁quit', '▁depart', '▁leave', '▁go', '▁ret']
▁contacts	['▁links', '▁associations', '▁relationships', '▁connections']
▁Hern	['▁Syn', '▁Input:', '▁100']
▁sixth	['▁sixth\n\nInput:', '▁6th']
▁publications	['▁newspapers', '▁books', '▁magazines']
vie	['oppose', 'compete', 'rival', 'contend']
▁accepting	['▁allowing', '▁approving', '▁tolerating', '▁end']
▁quietly	['▁silently', '▁soundlessly', '▁noiselessly']
Photo	['shot', 'picture', 'ph', 'snapshot', 'image']
▁basket	['▁pannier', '▁tub', '▁hamper']
alin	['Syn', 'Input:', '100']
rare	['scarce', 'uncommon', 'infrequent']
▁nick	['▁epithet', '▁sobriquet', '▁nickname']
changes	['alterations', 'modifications', 'revisions']
Days	['Syn', 'Input:', '100']
▁Mouse	['▁animal', '▁rodent', '▁mammal']
▁waited	['▁lingered']
▁Tomatoes	['▁pomodoro', '▁tomato', '▁love apple']
▁succession	['▁series', '▁train', '▁sequence']
▁sols	['▁suns', '▁Input:', '▁100']
▁Render	['▁Pro', '▁Deliver', '▁Present', '▁Offer']
▁leadership	['▁direction', '▁command', '▁guidance', '▁control', '▁management']
▁significance	['▁sign', '▁meaning', '▁importance']
Completed	['Finished', 'Accomplished', 'Concluded']
▁churches	['▁cathedrals', '▁tem', '▁chapels']
▁animate	['▁enliven', '▁energize', '▁vivify']
SG	['SINGAPORE', 'Input:', 'S']
compute	['figure', 'calculate', 'estimate', 'reckon']
▁uniformly	['▁cons', '▁equally', '▁evenly', '▁regularly']
maybe	['possibly', 'conceivably', 'perhaps']
UTE	['Synonyms', 'AU', 'Input:']
human	['man', 'homo', 'homo sapiens']
dark	['gloomy', 'black', 'dusky']
▁repair	['▁rebuild', '▁fix', '▁mend', '▁restore']
Original	['primal', 'primeval', 'primary', 'prist']
▁Youth	['▁adolescence', '▁juven', '▁childhood']
▁breakfast	['▁morning meal', '▁first meal']
▁Orange	['▁mandarin', '▁clement', '▁tangerine']
▁Affairs	['▁Business', '▁Matters', '▁Concerns']
▁notify	['▁advise', '▁warn', '▁app', '▁inform', '▁alert']
▁Arena	['▁amphitheater', '▁coliseum']
▁retained	['▁kept', '▁held', '▁preserved']
failed	['fizzled', 'flunked', 'flopped']
bine	['Synonyms', 'Input:']
camera	['ph', 'photographic equipment', 'photographic camera']
KB	['KILOBIT', 'KILOBYTE']
▁lights	['▁lampsh', '▁illuminations', '▁lamps']
▁Pictures	['▁pictures', '▁photos', '▁images', '▁phot']
▁Squadron	['▁unit', '▁company', '▁wing', '▁group', '▁flight']
▁burg	['▁city', '▁metropolis', '▁borough', '▁town']
Gi	['Gigabyte', 'Gigabit']
▁everybody	['▁all and sundry', '▁all and', '▁all']
▁Hyper	['▁overexcited', '▁overst', '▁overactive']
▁glory	['▁reputation', '▁renown', '▁fame', '▁honor']
presentation	['display', 'dem', 'exhibition', 'exposition']
▁tunnel	['▁under', '▁passageway', '▁tube', '▁passage']
PART	['PORTION', 'FRACTION', 'SECTION']
▁prices	['▁charges', '▁costs', '▁rates', '▁fees']
currency	['cash', 'money', 'capital', 'funds']
gender	['sexuality', 'sexual orientation', 'sex']
versions	['copies', 'editions', 'revisions']
▁Training	['▁teaching', '▁education', '▁tu', '▁instruction']
inside	['internal', 'interior', 'inner', 'inward', 'in']
▁occasions	['▁events', '▁incidents', '▁h']
Methods	['Ways', 'Techniques', 'Proced']
▁isomorphism	['▁Syn', '▁Input:', '▁100']
▁aligned	['▁arranged', '▁adjusted', '▁coordinated']
urger	['supporter', 'back', 'promoter', 'advocate']
morrow	['tomorrow', 'next day', 'following day']
altern	['alternative']
nit	['louse egg', 'louse']
▁minus	['▁less']
▁clearer	['▁more intelligible', '▁more distinct', '▁more clear']
▁Quick	['▁fast', '▁speedy', '▁swift', '▁rapid']
employee	['personnel', 'labor', 'staff', 'worker']
▁bent	['▁crooked', '▁twisted', '▁warped', '▁bow']
reno	['Syn', 'Input:', '100']
▁Maine	['▁Maine\n\nInput', '▁Pine Tree State']
▁Storage	['▁memory', '▁storage device', '▁memory unit', '▁memory storage']
▁apple	['▁fruit', '▁fruit tree', '▁pome']
▁hibernate	['▁drow', '▁slumber', '▁doze', '▁sleep']
dog	['canine', 'pooch', 'cur', 'hound']
▁intensity	['▁force', '▁pot', '▁might', '▁power', '▁strength']
legend	['myth', 'story', 'fable', 'tale']
▁Living	['▁alive']
▁Split	['▁Break', '▁Separate', '▁Divide']
need	['want', 'demand', 'lack', 'require']
▁Swiss	[]
▁signing	['▁subscri', '▁endorsing', '▁autographing']
▁indexing	['▁cataloging', '▁rec', '▁listing', '▁registering']
▁conception	['▁thought', '▁concept', '▁idea', '▁notion']
▁affair	['▁event', '▁business', '▁matter']
August	['Input:', 'august', '100']
▁bishop	['▁pre', '▁prelate']
▁servants	['▁aides', '▁attendants', '▁retainers']
digit	['numeral', 'character', 'figure', 'symbol', 'ci']
▁Near	['▁Close', '▁Nearby', '▁Adjacent']
Upper	['elevated', 'higher', 'lo', 'superior']
pine	['spruce', 'cedar', 'larch', 'fir']
▁Creating	['▁Making', '▁Constructing', '▁Producing']
Once	['Formerly', 'Formally', 'Former']
▁geometric	['▁mathematical', '▁geometrical']
▁decomposition	['▁decadence', '▁decay', '▁decaying']
▁comedy	['▁humor', '▁par', '▁farce', '▁satire']
▁activation	['▁triggering', '▁launch', '▁starting', '▁initiation']
▁angry	['▁enraged', '▁irate', '▁furious']
▁instantly	['▁quickly', '▁swift', '▁promptly', '▁immediately']
▁Clay	['▁mud', '▁earth', '▁loam', '▁dirt']
cot	['bedst', 'bed', 'crib']
unwrap	['unpack', 'unfold', 'unroll']
▁lifted	['▁hoisted', '▁raised', '▁elevated', '▁he']
▁Kit	['▁Synonyms', '▁Input:', '▁CAT']
hart	['stag', 'buck', 'male de', 'deer']
▁Issue	['▁problem', '▁topic', '▁question', '▁matter', '▁subject']
Tasks	['Ass', 'Duties', 'Work', 'Jobs']
asia	['continent', 'Input:', '100']
controls	['governs', 'manages', 'regulates']
▁Philippines	['▁Syn', '▁Input:', '▁100']
Fixed	['Secured', 'Att', 'Set', 'Fastened']
▁switched	['▁varied', '▁modified', '▁changed', '▁altered']
Zip	['Z', 'ZIP']
▁Blan	['▁Syn', '▁Input:', '▁100']
Ca	['Calif.', 'Cal.', 'California']
▁latitude	['▁scope', '▁liberty', '▁freedom', '▁le']
swap	['switch', 'exchange', 'trade', 'barter']
▁hate	['▁des', '▁loathe', '▁detest', '▁abhor']
▁modifications	['▁alterations', '▁am', '▁changes', '▁revisions']
GROUP	['BAND', 'CLUSTER', 'CLAN']
▁Stevens	['▁Syn', '▁Input:', '▁100']
Summary	['overview', 'abstract', 'synopsis', 'outline']
obs	['obsessive', 'obsessive-compuls']
remark	['op', 'comment', 'note', 'statement', 'observation']
▁Mock	['▁ridicule', '▁deride', '▁scoff']
gb	['gigabytes', 'gigabyte']
▁celebrated	['▁commemorated', '▁observed', '▁honored']
▁Geographic	['▁geographical', '▁geologic']
▁attachment	['▁aff', '▁link', '▁connection', '▁bond', '▁tie']
▁attitude	['▁position', '▁bear', '▁posture', '▁stance']
▁worship	['▁revere', '▁venerate', '▁adore']
▁Specifically	['▁Precise', '▁Exact', '▁Definite']
▁preceding	['▁antecedent', '▁previous', '▁anteceding']
▁Academia	['▁school', '▁university', '▁institution', '▁college']
Internet	['net\n\nInput: C', 'net', 'web']
▁corn	['▁Zea m', '▁maize', '▁Indian corn']
MIT	['of', 'Massachusetts', 'Input:', 'Institute', 'Technology']
made	['fabric', 'created', 'constructed', 'produced']
▁pm	['▁afternoon', '▁evening', '▁post meridiem']
▁dogs	['▁pooches', '▁canines', '▁hounds']
▁emulator	['▁imitator', '▁mime', '▁mimic']
▁approximate	['▁near', '▁nearly', '▁close', '▁nearby']
LM	['Syn', 'Input:']
▁Bond	['▁aff', '▁link', '▁connection', '▁tie', '▁attachment']
▁indirect	['▁roundabout', '▁circuitous', '▁devious']
▁Originals	['▁Input:', '▁100']
commands	['orders', 'm', 'instructions', 'directives']
Export	['convey', 'trans', 'ship', 'transport', 'send']
▁solemn	['▁serious', '▁grave']
▁correction	['▁revision', '▁amendment', '▁rectification']
▁Driver	['▁Pilot', '▁Operator', '▁Chauffeur']
▁kid	['▁child', '▁ju', '▁youngster', '▁minor']
▁visibility	['▁view', '▁observation', '▁sighting', '▁sight']
▁cpu	['▁processor']
discussion	['con', 'debate', 'dialogue', 'conversation']
Asset	['property', 'resource', 'holding', 'possession']
▁defense	['▁sh', '▁protection', '▁safeguard', '▁guard']
▁Anyone	['▁Every', '▁Everyone', '▁Everybody']
▁Valent	['▁Syn', '▁Input:', '▁100']
▁Pale	['▁light', '▁washed-out', '▁faint']
▁fuel	['▁gasoline', '▁gas', '▁petrol', '▁gasol']
▁Rico	['▁Syn', '▁Input:', '▁100']
▁Emma	['▁Syn', '▁Input:', '▁100']
▁Kirk	['▁Syn', '▁Input:', '▁100']
▁Cover	['▁mask', '▁conceal', '▁hide', '▁shroud']
